,Name,Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
11,Restaurant 11,Rural,Indian,3.1,,32.11,2792.0,34058.0,4.0,419.0,200.29386216601912,2.4,2.7,No,4.0,20.0,295333.14
12,Restaurant 12,Downtown,Mexican,4.4,77.0,35.6,8511.0,88420.0,19.0,741.0,98.63901879525552,5.6,2.9,Yes,46.0,39.0,645268.3
13,Restaurant 13,Rural,,4.8,42.0,45.55,1968.0,22976.0,5.0,420.0,85.48892948147306,7.9,5.3,Yes,4.0,39.0,437468.35
14,Restaurant 14,Suburban,French,4.6,59.0,63.22,3282.0,39922.0,2.0,988.0,71.70442820197951,7.2,6.9,No,18.0,1.0,836011.9
15,Restaurant 15,Downtown,American,,87.0,38.26,2460.0,27600.0,17.0,687.0,249.6913013045971,4.9,4.6,Yes,38.0,47.0,760413.88
16,Restaurant 16,Suburban,Italian,4.3,61.0,47.7,1315.0,20612.0,4.0,685.0,211.6151783181189,1.9,1.6,Yes,30.0,48.0,651068.0
17,Restaurant 17,Suburban,French,5.0,56.0,65.87,3994.0,42576.0,6.0,971.0,205.289814737296,8.8,7.1,Yes,24.0,41.0,836123.03
18,Restaurant 18,Suburban,French,3.2,60.0,55.73,2270.0,23723.0,18.0,421.0,279.8494369218284,5.7,8.0,Yes,50.0,45.0,767869.7
19,Restaurant 19,Suburban,Mexican,4.3,59.0,34.28,1940.0,20192.0,6.0,539.0,89.67805980487975,9.0,9.5,Yes,0.0,43.0,464653.52
20,Restaurant 20,Downtown,,3.6,72.0,33.91,2462.0,26536.0,15.0,302.0,92.56733795290153,4.9,4.7,No,37.0,10.0,561710.45
21,Restaurant 21,Downtown,American,4.3,76.0,39.61,3444.0,40515.0,1.0,535.0,97.36728738358504,3.1,3.3,No,65.0,65.0,676879.89
22,Restaurant 22,Suburban,,4.2,53.0,64.15,1957.0,22672.0,17.0,920.0,155.8423575663224,3.8,9.3,Yes,40.0,46.0,779565.05
23,Restaurant 23,Suburban,French,3.3,57.0,56.0,2348.0,26717.0,2.0,307.0,268.55543375298384,4.8,7.4,No,41.0,14.0,715699.85
24,Restaurant 24,Downtown,Mexican,3.4,77.0,28.9,6712.0,72937.0,4.0,488.0,270.36853151506034,6.5,1.6,Yes,16.0,,511266.45
25,Restaurant 25,Downtown,Mexican,4.2,75.0,35.47,2035.0,24134.0,3.0,651.0,197.6469341342268,7.9,6.2,Yes,35.0,2.0,599518.34
26,Restaurant 26,Downtown,Indian,3.3,82.0,37.69,,18874.0,3.0,67.0,214.53572446586372,3.2,1.3,,51.0,17.0,687854.64
27,Restaurant 27,Rural,American,3.5,41.0,43.3,3124.0,37912.0,14.0,268.0,274.4405859037032,2.7,3.0,No,13.0,19.0,414143.9
28,Restaurant 28,Rural,Italian,4.7,32.0,53.33,2362.0,29777.0,8.0,561.0,206.05473886592432,2.8,1.6,Yes,16.0,23.0,392170.36
29,Restaurant 29,Rural,Indian,3.7,35.0,30.67,2749.0,29486.0,8.0,227.0,107.44991945883044,9.4,2.8,No,27.0,15.0,
30,Restaurant 30,Suburban,Italian,4.0,68.0,47.24,3194.0,36724.0,,258.0,226.2285170828849,2.5,5.4,No,5.0,9.0,724252.64
31,Restaurant 31,Rural,Japanese,4.9,40.0,70.4,2029.0,,18.0,862.0,242.47269352847465,4.1,3.7,No,8.0,21.0,
32,Restaurant 32,Suburban,French,3.5,53.0,59.05,2351.0,31725.0,7.0,576.0,208.8361558037068,5.4,1.8,No,10.0,19.0,703970.55
33,Restaurant 33,Suburban,American,3.8,64.0,39.52,3799.0,44954.0,10.0,284.0,118.39236586058098,6.0,5.3,Yes,7.0,48.0,580250.12
34,Restaurant 34,Rural,Indian,4.2,31.0,38.6,956.0,14320.0,1.0,184.0,149.979462398385,8.7,7.4,No,14.0,15.0,274742.8
35,Restaurant 35,Suburban,French,4.5,64.0,55.16,4028.0,40754.0,4.0,258.0,167.64810191168516,2.0,1.5,Yes,51.0,9.0,790777.86
36,Restaurant 36,Rural,American,4.8,46.0,42.27,3810.0,44176.0,4.0,260.0,86.32460453859498,2.0,8.9,Yes,22.0,25.0,445708.47
37,Restaurant 37,Rural,American,4.8,31.0,35.0,4536.0,51384.0,14.0,716.0,163.05581361499628,3.8,6.9,Yes,5.0,16.0,268505.2
38,Restaurant 38,Downtown,American,4.6,76.0,35.69,3560.0,41693.0,5.0,601.0,90.29935583230024,4.7,5.7,Yes,38.0,11.0,614599.82
39,Restaurant 39,Rural,French,3.5,45.0,59.49,2143.0,21600.0,5.0,322.0,174.86293601821393,4.4,4.6,No,,6.0,
40,Restaurant 40,Downtown,Indian,3.0,74.0,39.25,2397.0,29088.0,19.0,209.0,62.70268963819654,4.5,4.5,No,4.0,,667565.4
41,Restaurant 41,Rural,Mexican,3.8,45.0,26.59,3754.0,44524.0,5.0,193.0,287.1328729903007,8.7,4.0,No,30.0,32.0,283286.23
42,Restaurant 42,Rural,French,3.3,48.0,61.1,2520.0,28671.0,11.0,752.0,111.58621606746424,8.5,2.0,Yes,15.0,43.0,668794.55
43,Restaurant 43,Downtown,American,4.4,71.0,42.46,6923.0,75267.0,2.0,557.0,166.75357746440224,8.2,1.7,No,29.0,61.0,686243.79
44,Restaurant 44,Downtown,Indian,4.3,84.0,32.52,3365.0,37755.0,15.0,783.0,58.18804413308949,7.8,3.8,No,24.0,17.0,628872.49
45,Restaurant 45,Rural,Japanese,3.1,33.0,70.64,1576.0,20621.0,14.0,383.0,98.18038054992454,1.4,7.0,No,11.0,10.0,534359.77
46,Restaurant 46,Suburban,Italian,4.7,51.0,55.03,2420.0,26703.0,14.0,551.0,223.31124795839435,2.3,3.6,No,2.0,11.0,638362.61
47,Restaurant 47,Downtown,American,3.5,79.0,40.63,4396.0,52183.0,,493.0,77.95015078472349,,8.3,,52.0,31.0,732451.07
48,Restaurant 48,Suburban,Japanese,3.9,54.0,66.73,1668.0,19396.0,8.0,803.0,207.03729024102785,6.4,4.4,No,3.0,35.0,810162.52
49,Restaurant 49,Suburban,Mexican,4.3,67.0,31.91,2715.0,31583.0,5.0,922.0,50.517222858584994,7.1,6.7,No,49.0,35.0,490291.52
50,Restaurant 50,Suburban,American,3.9,53.0,41.51,,23259.0,5.0,899.0,166.25233144891587,7.5,4.9,No,47.0,9.0,501334.08
51,Restaurant 51,Downtown,Japanese,3.9,70.0,65.3,2139.0,28365.0,,135.0,230.33591018082197,9.2,5.5,No,14.0,40.0,1030821.95
52,Restaurant 52,Suburban,American,3.1,67.0,36.0,2063.0,27503.0,5.0,229.0,281.57321572843284,6.7,3.3,No,,2.0,544343.65
53,Restaurant 53,Downtown,French,3.8,89.0,56.72,6601.0,71072.0,9.0,129.0,173.20904402310344,3.5,5.6,Yes,84.0,47.0,1140222.94
54,Restaurant 54,Suburban,Indian,4.5,55.0,31.5,976.0,17078.0,11.0,866.0,260.13311743465664,1.7,2.0,Yes,1.0,,397829.4
55,Restaurant 55,Rural,Japanese,4.8,49.0,67.85,1092.0,14277.0,17.0,610.0,250.64783868041425,4.9,4.5,No,45.0,48.0,759680.25
56,Restaurant 56,Rural,Indian,3.8,49.0,35.0,3448.0,40630.0,12.0,203.0,123.94269426687748,7.4,5.0,No,47.0,38.0,404369.5
57,Restaurant 57,Downtown,French,3.8,83.0,59.09,1578.0,16962.0,12.0,228.0,268.6834059779197,3.5,7.3,Yes,66.0,75.0,1103481.72
58,Restaurant 58,Rural,,4.4,39.0,64.8,2632.0,31401.0,16.0,348.0,210.07074495231404,2.1,4.6,Yes,24.0,15.0,581548.05
59,Restaurant 59,Rural,Indian,4.9,47.0,36.73,2117.0,21300.0,1.0,375.0,76.04616202158994,10.0,7.0,Yes,26.0,28.0,394535.81
60,Restaurant 60,Suburban,Japanese,3.5,58.0,74.64,3294.0,37894.0,18.0,804.0,284.7781991489701,4.8,2.6,Yes,26.0,48.0,983744.34
61,Restaurant 61,Downtown,Indian,3.9,81.0,35.8,3917.0,39953.0,6.0,888.0,94.16918538346434,2.9,1.2,Yes,8.0,64.0,655332.95
62,Restaurant 62,Suburban,Indian,4.6,59.0,30.99,1633.0,21961.0,5.0,58.0,167.59023682407346,2.5,5.6,No,35.0,27.0,415056.72
63,Restaurant 63,Suburban,Italian,4.2,70.0,50.1,1693.0,25006.0,18.0,477.0,166.59134638627495,8.8,5.3,Yes,10.0,44.0,800532.2
64,Restaurant 64,Suburban,Japanese,3.2,68.0,74.04,701.0,9386.0,13.0,241.0,206.30915578522595,8.4,7.0,Yes,38.0,59.0,1132488.36
65,Restaurant 65,Suburban,Italian,4.3,55.0,47.14,1715.0,25940.0,6.0,139.0,216.23919141961932,6.5,3.8,No,6.0,53.0,585880.06
66,Restaurant 66,Suburban,American,3.4,63.0,36.0,1737.0,20253.0,7.0,51.0,108.22695740968422,5.9,1.3,Yes,12.0,39.0,512848.15
67,Restaurant 67,Suburban,Indian,4.0,57.0,33.62,3076.0,34682.0,3.0,469.0,138.11062212940868,9.6,7.5,Yes,,25.0,439556.78
68,Restaurant 68,Suburban,American,4.1,63.0,39.28,1666.0,17128.0,11.0,52.0,86.14755115768808,3.1,9.5,No,41.0,21.0,565140.92
69,Restaurant 69,Downtown,Japanese,4.8,80.0,68.37,1999.0,22056.0,8.0,999.0,81.50393351238881,4.7,4.5,Yes,46.0,24.0,1221327.6
70,Restaurant 70,Rural,Indian,3.9,45.0,31.49,2413.0,23681.0,4.0,454.0,256.266838810939,1.2,6.5,No,42.0,23.0,325942.35
71,Restaurant 71,Suburban,American,3.6,69.0,37.76,1825.0,18960.0,10.0,541.0,237.68033508177112,4.8,5.9,Yes,5.0,6.0,591124.22
72,Restaurant 72,Suburban,Mexican,3.5,55.0,32.51,1000.0,11598.0,9.0,756.0,160.67087165721108,4.5,6.1,No,3.0,20.0,410222.58
73,Restaurant 73,Suburban,French,,64.0,59.25,1986.0,22315.0,13.0,314.0,73.97732096073182,9.5,8.8,Yes,42.0,0.0,
74,Restaurant 74,Suburban,Indian,3.3,64.0,36.96,998.0,15828.0,19.0,829.0,162.48043584248825,4.2,7.6,Yes,24.0,59.0,549945.44
75,Restaurant 75,Suburban,French,3.9,63.0,60.9,2279.0,25738.0,15.0,292.0,123.61392343620048,,7.9,Yes,19.0,1.0,869944.7
76,Restaurant 76,Suburban,Italian,3.4,70.0,51.04,1834.0,17917.0,5.0,726.0,244.47980510687785,7.9,1.8,No,24.0,16.0,799433.65
77,Restaurant 77,Rural,American,4.5,41.0,37.73,2419.0,31439.0,13.0,774.0,74.1598336108543,2.3,2.3,No,36.0,27.0,363203.11
78,Restaurant 78,Rural,Italian,3.9,31.0,50.74,3498.0,43114.0,12.0,982.0,162.8421384362643,9.7,7.0,Yes,8.0,15.0,375357.58
79,Restaurant 79,Suburban,Indian,3.7,57.0,30.26,2634.0,27596.0,9.0,409.0,197.84676090747675,6.7,5.9,Yes,40.0,52.0,401968.3
80,Restaurant 80,Rural,French,3.7,48.0,,2156.0,27054.0,8.0,244.0,296.4313133032638,6.4,8.0,Yes,43.0,18.0,652011.45
81,Restaurant 81,Downtown,French,4.7,83.0,61.3,6348.0,72995.0,9.0,548.0,72.40203279801817,1.1,1.8,Yes,82.0,46.0,1146814.25
82,Restaurant 82,Suburban,American,4.1,54.0,37.0,3050.0,37196.0,13.0,,78.49011804174151,7.3,,No,11.0,13.0,465818.8
83,,Downtown,Indian,4.4,78.0,32.82,5259.0,54074.0,9.0,666.0,297.01229005412523,1.5,5.4,Yes,34.0,55.0,587926.42
84,Restaurant 84,Downtown,Mexican,4.8,82.0,27.41,2540.0,27671.0,6.0,262.0,151.4062886157257,2.7,8.7,Yes,67.0,28.0,512250.28
85,Restaurant 85,Suburban,Mexican,4.8,58.0,25.78,1725.0,21828.0,6.0,880.0,235.92857679953624,1.9,2.7,No,55.0,1.0,342640.14
86,Restaurant 86,,American,3.7,43.0,38.83,796.0,9045.0,11.0,203.0,245.8688456227368,4.4,4.1,No,18.0,10.0,384051.6
87,Restaurant 87,Downtown,Indian,4.9,74.0,40.77,8060.0,88657.0,10.0,777.0,128.6398523032284,8.2,2.4,,49.0,31.0,697357.07
88,Restaurant 88,Suburban,American,3.0,51.0,38.89,2911.0,36596.0,14.0,95.0,,7.4,5.1,Yes,43.0,46.0,464459.92
89,Restaurant 89,Downtown,Indian,3.8,76.0,35.07,6004.0,59758.0,6.0,230.0,119.02280001318076,2.0,8.9,Yes,5.0,34.0,608976.71
90,Restaurant 90,Downtown,Italian,4.8,85.0,52.18,8349.0,88037.0,7.0,621.0,241.09835625953704,8.2,7.0,No,,42.0,1007855.01
91,Restaurant 91,Downtown,American,3.5,80.0,42.13,3278.0,41075.0,9.0,805.0,260.1198627563245,5.1,7.7,Yes,72.0,72.0,768165.07
92,Restaurant 92,Downtown,Indian,3.5,80.0,40.45,1919.0,23426.0,3.0,275.0,224.87623429282425,1.3,1.8,Yes,47.0,33.0,721069.8
93,Restaurant 93,Rural,Mexican,3.6,41.0,34.43,3557.0,39751.0,12.0,81.0,160.3068924272212,3.0,5.1,No,25.0,8.0,333818.21
94,Restaurant 94,Downtown,Indian,,82.0,38.73,2709.0,,16.0,396.0,115.64086418963052,8.1,8.5,Yes,5.0,63.0,728671.03
95,Restaurant 95,Downtown,Indian,3.9,,40.47,7011.0,77577.0,13.0,495.0,156.3122606235318,7.6,8.5,Yes,36.0,46.0,722199.5
96,Restaurant 96,Downtown,American,4.5,85.0,37.54,6809.0,75456.0,6.0,224.0,278.63165490731143,2.7,9.9,Yes,20.0,8.0,726592.52
97,Restaurant 97,Rural,Italian,4.8,50.0,51.79,1062.0,18043.0,13.0,878.0,265.7988854392484,1.3,5.7,No,41.0,2.0,590078.62
98,Restaurant 98,Downtown,Italian,4.3,70.0,54.76,2549.0,31340.0,5.0,655.0,130.8440518548392,3.7,1.0,No,51.0,44.0,858723.5
99,Restaurant 99,Downtown,Italian,3.4,82.0,51.87,5039.0,58390.0,4.0,949.0,131.98520401759407,8.2,9.1,No,66.0,20.0,960968.28
100,Restaurant 100,Rural,Italian,4.9,40.0,55.75,2769.0,29693.0,8.0,179.0,244.9935124447328,9.4,9.6,No,,33.0,515043.9
101,Restaurant 101,Rural,Japanese,3.5,33.0,66.1,1180.0,15935.0,3.0,712.0,156.64351314613026,6.2,9.3,No,20.0,27.0,495552.15
102,Restaurant 102,Rural,American,3.3,33.0,39.83,1280.0,17016.0,2.0,872.0,193.1807021236652,1.8,7.9,No,10.0,32.0,300889.07
103,Restaurant 103,Downtown,French,3.2,84.0,65.75,1479.0,21198.0,19.0,346.0,155.57943509089216,5.5,2.9,No,26.0,39.0,1240981.15
104,Restaurant 104,Rural,American,4.1,32.0,39.18,2990.0,29432.0,7.0,301.0,110.58470495909064,10.0,2.3,Yes,27.0,17.0,296005.96
105,Restaurant 105,Rural,Japanese,3.2,48.0,73.14,2936.0,31610.0,12.0,501.0,97.2134422139319,9.4,7.3,Yes,,4.0,796696.16
106,Restaurant 106,Downtown,Italian,3.3,90.0,45.33,3122.0,29756.0,4.0,470.0,84.88542985843246,9.9,2.3,Yes,40.0,45.0,914518.15
107,Restaurant 107,Rural,Japanese,3.6,31.0,72.64,1175.0,10656.0,10.0,700.0,52.85569511110284,7.3,9.6,Yes,20.0,19.0,518131.22
108,Restaurant 108,Downtown,Mexican,3.6,75.0,35.28,4869.0,53171.0,9.0,981.0,120.1541141759591,4.8,5.0,No,47.0,45.0,608543.81
109,Restaurant 109,Suburban,Mexican,4.2,57.0,29.21,1342.0,12643.0,12.0,533.0,92.85214757774196,9.0,1.3,No,25.0,40.0,387388.23
110,Restaurant 110,Rural,American,4.6,46.0,35.23,2253.0,27549.0,11.0,832.0,114.48760667387675,9.1,2.4,No,20.0,30.0,379839.47
111,Restaurant 111,Suburban,American,4.5,54.0,35.31,4213.0,50835.0,19.0,406.0,68.95100237495917,2.3,3.6,No,38.0,41.0,451988.8
112,Restaurant 112,Downtown,French,3.5,71.0,64.81,1690.0,16080.0,2.0,884.0,135.38984074826675,8.0,7.3,,67.0,52.0,1030200.08
113,Restaurant 113,Rural,French,3.5,41.0,62.95,2944.0,29455.0,6.0,673.0,179.98964742691072,9.3,7.6,Yes,36.0,32.0,591193.4
114,Restaurant 114,Downtown,Mexican,4.9,74.0,26.17,3471.0,35561.0,6.0,207.0,286.1428537352798,9.1,2.9,No,48.0,21.0,445315.3
115,Restaurant 115,Suburban,,3.0,59.0,45.6,1063.0,14037.0,1.0,618.0,136.76799090388823,7.4,6.8,Yes,54.0,57.0,605891.55
116,Restaurant 116,Downtown,Japanese,4.8,78.0,73.85,9150.0,91714.0,7.0,751.0,57.75574479292471,5.8,1.3,No,67.0,7.0,1297333.3
117,Restaurant 117,Rural,French,3.4,49.0,63.91,940.0,12648.0,12.0,594.0,140.5910958338684,8.0,1.9,Yes,22.0,8.0,707915.91
118,Restaurant 118,Rural,Indian,4.9,37.0,31.33,4021.0,49725.0,12.0,882.0,254.30607186417504,5.6,5.8,Yes,8.0,10.0,282412.68
119,Restaurant 119,Suburban,French,3.7,50.0,58.32,2654.0,29751.0,6.0,50.0,135.03681664793498,3.9,7.3,Yes,39.0,30.0,659796.63
120,Restaurant 120,Downtown,,3.9,75.0,53.58,6155.0,65421.0,14.0,692.0,122.93266764743578,3.3,9.2,Yes,23.0,36.0,917350.27
121,Restaurant 121,Rural,,4.4,40.0,50.78,1308.0,17465.0,17.0,58.0,279.7487852780448,5.9,4.9,No,28.0,19.0,472570.71
122,Restaurant 122,Suburban,American,4.2,52.0,45.52,2334.0,30509.0,17.0,558.0,124.30731954865776,5.1,2.1,No,6.0,51.0,547718.85
123,Restaurant 123,Rural,Japanese,3.6,44.0,70.29,3194.0,38190.0,18.0,593.0,292.5654209801139,5.7,9.4,No,17.0,22.0,713492.25
124,,Rural,Italian,4.1,40.0,52.45,2715.0,31620.0,13.0,638.0,258.15893510770803,3.3,4.9,Yes,1.0,8.0,483963.55
125,Restaurant 125,Downtown,French,4.5,74.0,,8378.0,89801.0,13.0,862.0,221.0624797433439,6.3,5.5,,27.0,45.0,1024290.63
126,Restaurant 126,Rural,French,3.1,45.0,65.37,638.0,9937.0,11.0,144.0,199.58156835322168,7.0,8.7,No,42.0,17.0,
127,Restaurant 127,Downtown,Mexican,3.0,90.0,29.39,5425.0,52699.0,3.0,746.0,106.19514493643467,8.3,6.3,No,40.0,25.0,603751.7
128,Restaurant 128,Rural,Italian,3.9,36.0,47.53,881.0,15038.0,17.0,326.0,232.59960919378497,6.3,3.7,Yes,28.0,15.0,401495.71
129,Restaurant 129,Suburban,Indian,3.3,55.0,33.59,3200.0,38583.0,2.0,584.0,136.7845324803213,7.8,5.9,Yes,44.0,49.0,424462.57
130,Restaurant 130,Rural,American,4.3,38.0,44.38,1800.0,23928.0,2.0,971.0,171.41054004208212,2.5,6.6,No,16.0,19.0,383272.06
131,Restaurant 131,Downtown,Japanese,3.4,76.0,70.48,4226.0,48246.0,7.0,166.0,76.01719551449023,2.1,9.0,No,16.0,15.0,1196887.3
132,Restaurant 132,Downtown,,3.9,72.0,33.9,3412.0,35971.0,10.0,505.0,124.03852748518148,2.6,3.1,Yes,30.0,15.0,556837.25
133,Restaurant 133,Suburban,American,3.4,60.0,40.99,3388.0,35405.0,14.0,409.0,182.2798669777932,8.6,6.0,Yes,22.0,48.0,570448.15
134,Restaurant 134,Rural,French,4.1,41.0,56.47,3396.0,39804.0,19.0,79.0,167.01032839558778,6.0,9.3,No,9.0,31.0,543195.13
135,Restaurant 135,Rural,Indian,3.2,50.0,30.06,772.0,7457.0,17.0,932.0,135.87828877539735,5.1,1.4,No,5.0,37.0,354064.37
136,Restaurant 136,Suburban,American,3.0,60.0,38.09,654.0,7708.0,16.0,374.0,167.982488789299,7.9,2.8,Yes,37.0,58.0,527585.55
137,Restaurant 137,Rural,French,3.1,31.0,61.66,694.0,10727.0,17.0,969.0,236.2315335260757,2.1,4.1,,23.0,16.0,444629.83
138,Restaurant 138,Rural,French,4.9,30.0,62.83,,21205.0,18.0,123.0,164.83139104616885,1.1,7.1,Yes,14.0,24.0,441498.39
139,Restaurant 139,Downtown,French,3.3,71.0,64.09,4159.0,47693.0,11.0,881.0,176.5391179311081,3.8,8.6,Yes,26.0,52.0,1029119.58
140,Restaurant 140,Rural,French,4.4,43.0,65.19,1236.0,20136.0,19.0,468.0,225.28652030261077,3.2,2.8,No,10.0,35.0,642624.58
141,Restaurant 141,,French,3.1,42.0,59.53,2365.0,23206.0,11.0,967.0,260.40370079076155,3.8,3.2,Yes,19.0,41.0,572270.54
142,Restaurant 142,Suburban,Mexican,3.2,54.0,33.15,2300.0,22694.0,10.0,856.0,181.71594446433795,9.8,8.4,Yes,45.0,53.0,420677.3
143,Restaurant 143,Suburban,Indian,4.0,51.0,30.82,2537.0,29430.0,14.0,872.0,287.0439037706254,6.1,2.3,No,4.0,23.0,370281.72
144,Restaurant 144,Downtown,American,3.9,88.0,35.63,,24710.0,14.0,791.0,138.36186087283227,6.3,3.4,No,31.0,78.0,714683.03
145,Restaurant 145,Rural,Mexican,4.9,46.0,26.37,3976.0,49139.0,10.0,312.0,113.13874534699328,6.9,7.6,No,4.0,20.0,292579.21
146,Restaurant 146,Rural,,4.9,40.0,29.93,4192.0,43570.0,4.0,495.0,223.2724670471866,4.6,2.5,Yes,21.0,39.0,280989.1
147,Restaurant 147,Rural,Italian,4.6,45.0,47.32,3708.0,46116.0,10.0,600.0,93.93743415978224,9.8,8.5,Yes,0.0,15.0,495266.2
148,Restaurant 148,Downtown,Italian,4.2,89.0,48.16,5636.0,62047.0,6.0,453.0,274.99196312412823,9.8,5.4,Yes,19.0,82.0,969613.07
149,Restaurant 149,Downtown,Italian,3.9,87.0,52.13,5491.0,53983.0,11.0,153.0,146.64354571557914,7.9,5.0,Yes,50.0,19.0,1025521.51
150,Restaurant 150,Suburban,Japanese,3.7,69.0,68.94,1783.0,20842.0,18.0,489.0,224.53716369330868,2.9,2.2,No,31.0,4.0,1069409.84
151,Restaurant 151,Downtown,Italian,4.9,77.0,51.13,,29687.0,6.0,913.0,192.54588062248453,8.9,7.1,Yes,58.0,14.0,887173.4
152,Restaurant 152,Rural,American,4.2,31.0,39.54,2332.0,24541.0,15.0,755.0,63.5977147222775,1.9,9.0,Yes,22.0,7.0,296268.77
153,Restaurant 153,Rural,Mexican,4.2,46.0,26.86,2683.0,31728.0,6.0,192.0,227.26967683657443,6.7,7.2,Yes,27.0,9.0,290499.5
154,Restaurant 154,Downtown,American,3.5,80.0,35.81,5792.0,57816.0,1.0,763.0,247.50118255094085,5.1,3.9,No,27.0,74.0,649612.81
155,Restaurant 155,Rural,Indian,3.1,43.0,32.6,2343.0,21703.0,9.0,966.0,295.6181076990516,1.4,7.3,Yes,16.0,33.0,
156,Restaurant 156,Rural,Italian,4.9,45.0,45.63,3819.0,44311.0,14.0,256.0,154.0319166090132,9.1,5.6,Yes,33.0,43.0,482957.58
157,Restaurant 157,Downtown,Japanese,3.6,84.0,71.8,4463.0,50781.0,3.0,595.0,175.73289198853766,9.6,8.7,Yes,59.0,56.0,1351663.35
158,Restaurant 158,Downtown,Indian,3.9,84.0,38.75,3588.0,37026.0,1.0,852.0,268.7168341591224,9.2,5.1,No,58.0,71.0,734931.05
159,Restaurant 159,Rural,Japanese,3.2,32.0,68.74,2314.0,28085.0,14.0,932.0,117.29932825431248,2.7,3.1,Yes,27.0,7.0,507706.33
160,Restaurant 160,Rural,Indian,4.7,36.0,34.26,4600.0,48778.0,14.0,310.0,97.28565818163436,4.0,1.9,Yes,23.0,23.0,298590.7
161,Restaurant 161,Rural,Mexican,3.1,41.0,,1092.0,12071.0,4.0,873.0,83.22756827149281,9.6,3.5,No,1.0,33.0,320799.29
162,Restaurant 162,Suburban,American,4.7,52.0,37.45,4054.0,44969.0,14.0,132.0,294.563053295931,2.0,6.1,Yes,26.0,39.0,455558.3
163,Restaurant 163,Suburban,French,3.3,68.0,56.31,2623.0,26229.0,4.0,312.0,117.5898088856426,6.2,2.5,No,8.0,20.0,854365.15
164,Restaurant 164,Suburban,American,4.8,59.0,40.51,4522.0,51688.0,11.0,870.0,239.34862495712557,5.4,1.4,No,51.0,51.0,553069.13
165,Restaurant 165,Downtown,Italian,4.5,77.0,52.11,7924.0,87894.0,9.0,799.0,162.4167886197094,2.4,5.0,No,35.0,65.0,914520.63
166,Restaurant 166,Suburban,French,3.3,65.0,61.6,2905.0,30441.0,11.0,221.0,110.14384367614852,9.0,4.1,Yes,56.0,18.0,905305.95
167,Restaurant 167,Downtown,Japanese,4.1,85.0,72.85,5772.0,60604.0,15.0,747.0,278.3334499017433,2.2,4.8,No,10.0,13.0,1389460.5
168,Restaurant 168,Downtown,Mexican,3.6,81.0,25.62,2050.0,20944.0,6.0,411.0,165.9518754357781,6.3,5.1,Yes,31.0,75.0,473833.1
169,Restaurant 169,Suburban,Mexican,3.4,54.0,29.71,2681.0,31607.0,12.0,91.0,191.48884845477443,3.9,7.9,,26.0,36.0,376876.33
170,Restaurant 170,Suburban,Japanese,4.7,,67.62,4673.0,49681.0,13.0,789.0,105.62337088100624,4.8,9.6,No,51.0,19.0,1057810.77
171,Restaurant 171,Suburban,Italian,3.8,55.0,53.35,3207.0,38390.0,18.0,323.0,131.03807816621998,2.9,3.4,Yes,38.0,19.0,674167.7
172,Restaurant 172,Rural,Japanese,3.8,35.0,74.6,888.0,17622.0,14.0,823.0,236.921888475926,6.6,9.5,No,23.0,30.0,601671.9
173,Restaurant 173,Suburban,Indian,3.3,57.0,33.09,2379.0,22982.0,11.0,549.0,135.76119316599647,9.9,3.1,Yes,26.0,28.0,438164.93
